gene,gnomAD_syn_<1e-5,gnomAD_syn_1e-5~1e-4,gnomAD_syn_1e-4~1e-3,gnomAD_syn_1e-3~1e-2,gnomAD_syn_1e-2<,gnomAD_mis_<1e-5,gnomAD_mis_1e-5~1e-4,gnomAD_mis_1e-4~1e-3,gnomAD_mis_1e-3~1e-2,gnomAD_mis_1e-2<,gnomAD_stopgain_<1e-5,gnomAD_stopgain_1e-5~1e-4,gnomAD_stopgain_1e-4~1e-3,gnomAD_stopgain_1e-3~1e-2,gnomAD_stopgain_1e-2<,RGC-ME_syn_<1e-5,RGC-ME_syn_1e-5~1e-4,RGC-ME_syn_1e-4~1e-3,RGC-ME_syn_1e-3~1e-2,RGC-ME_syn_1e-2<,RGC-ME_mis_<1e-5,RGC-ME_mis_1e-5~1e-4,RGC-ME_mis_1e-4~1e-3,RGC-ME_mis_1e-3~1e-2,RGC-ME_mis_1e-2<,RGC-ME_stopgain_<1e-5,RGC-ME_stopgain_1e-5~1e-4,RGC-ME_stopgain_1e-4~1e-3,RGC-ME_stopgain_1e-3~1e-2,RGC-ME_stopgain_1e-2<,non_nsite,mis_nsite,ssite,is_cRDHGs
FNDC11,40,43,8,2,3,62,91,11,2,0,3,2,1,0,0,144,37,4,2,3,290,70,12,1,0,18,2,0,0,0,5.461182999999998e-07,1.281250520000001e-05,6.421027900000003e-06,False
FUT6,25,28,7,4,2,65,62,14,1,2,5,3,0,0,0,74,25,5,3,1,227,58,8,0,2,14,4,0,0,0,6.343490999999999e-07,1.1638367000000002e-05,5.739511699999995e-06,False
PCBD2,7,9,3,0,0,33,17,1,1,0,4,1,0,0,0,47,11,1,0,0,121,9,0,1,0,8,1,0,0,0,2.502646000000001e-07,3.1300849999999976e-06,1.2841538000000009e-06,False
LPAR6,28,14,3,2,0,72,44,5,1,0,0,2,0,0,0,121,14,0,2,0,307,34,2,0,1,12,1,0,0,0,4.803756999999999e-07,8.672154099999994e-06,3.2435099000000003e-06,False
LZTS3,76,65,12,7,3,148,107,9,1,0,1,1,0,0,0,245,47,15,5,3,545,96,9,1,0,5,0,0,0,0,8.143085999999999e-07,2.1809556300000003e-05,9.69986990000001e-06,False
FFAR4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,30,6,2,0,368,44,4,0,2,15,3,0,0,0,3.656378000000001e-07,9.968439200000013e-06,4.8452123999999965e-06,False
IL10,23,7,1,0,0,28,19,2,1,0,1,1,0,0,0,74,11,1,0,0,121,13,1,1,0,3,0,0,0,0,4.819564999999999e-07,4.515380300000001e-06,1.688720399999999e-06,False
ISX,19,25,2,1,2,58,54,6,1,7,2,5,0,0,0,86,22,3,1,1,255,41,7,1,6,14,3,0,0,0,3.617284999999999e-07,7.495957900000013e-06,3.0236775e-06,False
CHST6,56,44,4,8,1,118,95,8,2,1,3,3,0,0,0,180,29,5,5,1,450,54,11,1,1,15,2,0,0,0,4.705179000000001e-07,1.2542693999999986e-05,5.944579699999997e-06,False
CBX1,13,6,0,0,0,17,3,0,0,0,0,0,0,0,0,47,8,1,0,0,98,4,0,0,0,7,0,0,0,0,4.6220950000000005e-07,4.965091700000002e-06,1.9009541e-06,False
TM9SF1,56,36,8,2,0,97,91,4,2,1,2,1,0,0,0,220,28,6,1,0,477,62,9,2,1,16,0,0,0,0,9.296513999999996e-07,1.9034986800000035e-05,6.968986299999996e-06,False
GOLGA2,79,82,14,3,3,205,159,21,9,3,2,0,0,0,0,363,63,12,3,2,787,130,15,8,3,14,0,0,0,0,1.5023369000000015e-06,3.403403909999992e-05,1.34727324e-05,False
GRB2,22,17,5,1,0,23,6,0,0,0,0,0,0,0,0,68,13,5,1,0,92,6,0,0,0,1,0,0,0,0,4.542977e-07,7.218417500000005e-06,3.000191700000001e-06,False
RAB39A,19,12,1,1,1,35,20,1,0,0,3,1,0,0,0,83,5,1,1,1,184,10,1,0,0,7,1,0,0,0,6.095371000000002e-07,5.970813700000002e-06,2.117177799999999e-06,False
ENSG00000260272,31,43,4,2,1,78,65,9,4,0,5,3,0,0,0,137,36,5,0,1,332,60,6,3,0,11,5,0,0,0,3.7806450000000006e-07,1.3314497399999996e-05,6.1505240000000005e-06,False
ROCK2,92,54,12,4,4,154,93,14,1,1,0,0,0,0,0,371,54,11,1,4,821,63,10,1,1,17,0,0,0,0,3.169836100000006e-06,3.507082170000007e-05,1.2067919899999991e-05,False
TLR6,50,36,9,0,4,130,92,16,6,7,7,2,0,0,0,244,38,6,1,3,620,59,15,5,3,26,0,0,0,0,7.811047000000007e-07,1.924718360000004e-05,7.7670987e-06,False
ENSG00000290147,11,8,4,1,1,34,27,6,2,0,2,1,0,0,0,74,11,3,2,0,208,18,7,1,0,7,2,0,0,0,3.139857e-07,6.944839600000011e-06,3.549875500000001e-06,False
CLASP1,147,118,18,7,1,270,164,13,5,0,4,0,0,0,0,580,90,16,3,2,1143,112,18,4,1,12,0,0,0,0,3.3518060999999987e-06,4.873823459999971e-05,1.8637462600000008e-05,False
EEFSEC,64,48,7,3,5,114,104,17,4,1,4,4,0,0,0,245,43,6,2,4,508,98,15,5,0,11,2,0,0,0,5.143151000000002e-07,2.036333040000001e-05,9.663344100000005e-06,False
ZBTB38,79,79,12,5,3,185,113,15,5,3,2,0,0,0,0,368,73,12,6,1,915,85,15,5,2,23,0,0,0,0,1.834647800000002e-06,3.66271513e-05,1.5459281899999985e-05,False
BRME1,67,66,6,3,3,137,107,25,15,4,5,3,0,1,0,258,51,7,3,1,591,84,27,9,3,24,3,0,1,0,8.042162999999995e-07,2.0612437999999905e-05,9.92191670000001e-06,False
G3BP1,35,28,5,1,0,89,54,3,0,0,7,0,0,0,0,129,31,0,1,0,358,36,3,1,0,9,0,0,0,0,9.988699000000002e-07,1.2974349800000013e-05,4.216361299999996e-06,False
ENSG00000260643,14,14,1,0,3,46,28,3,2,2,3,0,0,0,0,24,3,0,0,2,67,6,0,1,0,3,2,0,0,0,1.5447909999999998e-07,4.128637199999992e-06,1.913117499999998e-06,False
THADA,181,132,15,6,6,521,358,47,14,7,24,11,0,0,0,815,114,21,3,5,2364,286,45,10,5,117,7,0,0,0,2.7240983999999983e-06,4.978036389999988e-05,1.970910500000004e-05,False
FBXO38,85,55,7,1,1,188,129,17,1,2,6,3,0,0,0,408,51,2,1,1,882,101,15,3,1,28,0,0,0,0,2.6027678999999974e-06,3.4418038900000044e-05,1.2258502500000003e-05,False
FASTKD5,69,40,4,1,3,149,109,24,3,2,7,4,0,0,0,291,42,3,4,0,722,90,15,1,2,33,3,0,0,0,1.464927499999999e-06,2.0544133899999973e-05,7.34401029999999e-06,False
HPSE,43,35,4,1,2,103,75,7,3,1,9,3,1,1,0,180,27,5,0,2,482,65,5,3,2,16,6,0,1,0,9.178987999999996e-07,1.3410125799999988e-05,5.983709299999999e-06,False
CELA3A,14,26,8,4,2,49,53,12,2,5,2,3,0,0,0,74,14,1,2,1,159,41,6,2,2,9,1,1,0,0,2.250983e-07,7.9025704e-06,3.6491173e-06,False
ENSG00000288658,55,35,7,1,2,94,62,5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.868587e-07,1.119358829999999e-05,5.642451999999991e-06,False
LMAN1L,53,47,7,4,4,97,92,7,4,5,4,3,0,0,0,227,35,9,3,2,516,61,8,5,3,24,1,1,0,0,4.5251230000000005e-07,1.701237690000001e-05,7.429360100000006e-06,False
CMTM3,17,25,2,1,1,42,38,5,1,0,0,0,0,0,0,82,20,1,1,1,192,21,4,1,0,6,0,0,0,0,1.245074e-07,5.477628400000008e-06,3.077836300000002e-06,False
DPPA4,27,22,6,2,2,51,31,4,0,2,4,0,0,0,0,133,14,5,1,2,257,27,3,0,2,14,2,0,0,0,3.7838009999999997e-07,7.525200000000003e-06,3.036992899999997e-06,False
PGBD5,55,60,11,5,4,107,79,4,2,1,1,1,0,0,0,246,38,14,2,3,535,66,4,1,1,11,0,0,0,0,6.432657000000002e-07,1.70927249e-05,8.417698299999998e-06,False
MYL4,18,9,3,0,0,40,39,4,2,0,1,0,0,0,0,66,13,2,0,0,207,24,2,1,0,6,0,0,0,0,1.3198709999999997e-07,6.3113231000000055e-06,2.4750559999999994e-06,False
NAB1,29,36,7,4,0,88,50,5,1,0,5,1,0,0,0,150,21,8,2,0,400,42,6,1,0,18,0,0,0,0,7.983288000000001e-07,1.207832440000001e-05,5.1838584e-06,False
ARHGEF2,75,82,14,5,1,146,102,12,1,0,1,1,0,0,0,362,74,7,7,0,732,84,6,1,0,17,0,0,0,0,2.1673365000000003e-06,3.7152531600000015e-05,1.3392146399999996e-05,False
SLC17A2,38,30,7,2,2,75,60,4,4,0,3,3,0,0,0,174,23,7,1,2,403,42,1,3,0,17,2,0,0,0,8.800167000000001e-07,1.2561341300000003e-05,5.294607699999998e-06,False
VAT1,42,28,5,3,2,80,58,9,0,0,5,1,0,0,0,143,23,5,4,1,313,39,6,1,0,12,0,0,0,0,3.243870000000002e-07,1.20503934e-05,5.4338303000000015e-06,False
SPIC,16,16,1,1,1,34,32,8,0,1,1,1,0,0,0,90,6,1,2,0,183,28,3,0,1,11,0,0,0,0,4.189008999999999e-07,6.185670899999996e-06,2.648932800000001e-06,False
HTR3D,24,25,5,3,4,84,55,13,7,5,4,1,1,0,0,143,21,4,3,4,306,48,13,5,5,15,2,0,0,0,5.120867999999999e-07,1.17204916e-05,5.276453699999998e-06,False
ERAP1,71,51,15,7,8,177,119,21,5,10,11,6,2,0,0,316,48,17,5,7,844,101,14,4,10,55,3,1,0,0,1.2980234999999994e-06,2.4097251700000004e-05,1.0490505100000013e-05,False
SDF2L1,33,25,2,0,0,48,40,6,4,2,1,1,0,0,0,127,18,2,0,0,196,29,7,3,1,13,0,0,0,0,2.3801180000000002e-07,7.381222400000006e-06,3.724088799999996e-06,False
ENSG00000291313,8,5,0,0,0,37,13,2,1,0,0,0,0,0,0,17,2,0,0,0,55,4,0,1,0,0,0,0,0,0,1.553215e-07,2.7358982999999963e-06,1.0778484e-06,False
TFIP11,72,60,9,7,6,157,119,13,4,0,5,4,0,0,0,342,51,11,3,5,759,89,13,2,0,41,2,1,0,0,1.4630177999999991e-06,2.7191189900000084e-05,1.13816469e-05,False
DEFB124,3,6,0,0,0,15,7,1,1,2,1,1,0,0,0,27,6,0,0,0,57,9,1,3,0,5,0,0,0,0,8.26913e-08,1.886691100000001e-06,9.768347999999995e-07,False
CUZD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,32,6,1,0,523,73,15,7,0,22,5,0,0,0,8.500888999999995e-07,1.5651472199999964e-05,6.2724651999999945e-06,False
WASHC2A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,11,4,0,1,184,22,6,2,1,12,0,0,0,0,1.496237e-07,4.572833400000005e-06,1.963285399999998e-06,False
SERINC5,37,49,7,5,2,91,57,5,1,1,3,2,0,0,0,168,48,9,3,1,424,50,1,2,0,25,0,0,0,0,6.911824999999997e-07,1.3286815499999995e-05,6.498430800000003e-06,False
FKBP5,32,31,3,1,1,72,46,4,3,0,2,0,0,0,0,141,27,1,1,1,363,30,5,2,0,7,0,0,0,0,4.556725e-07,1.2182458600000014e-05,4.677287799999998e-06,False
RAD54B,47,41,4,2,3,166,121,15,6,2,5,10,1,0,0,230,29,3,1,2,705,103,13,4,1,38,7,0,0,0,1.6783237999999983e-06,2.1257172200000048e-05,7.8353205e-06,False
SERTM1,7,10,2,0,0,19,5,1,0,0,0,0,0,0,0,38,8,2,0,0,86,2,1,0,0,0,0,0,0,0,7.575170000000004e-08,2.7268552999999963e-06,1.5783503999999988e-06,False
ZNF786,103,72,11,0,1,233,148,16,1,1,13,6,0,0,0,327,57,6,1,0,782,117,15,1,1,37,2,0,0,0,1.083136999999999e-06,3.111906839999992e-05,1.3143921900000012e-05,False
SRFBP1,34,25,4,5,2,124,64,16,4,3,9,2,0,0,0,169,20,4,5,1,476,61,13,6,1,23,1,0,0,0,9.503820000000002e-07,1.0596471700000028e-05,3.922022599999998e-06,False
ATP4A,103,119,26,9,4,186,148,16,5,1,5,2,0,0,0,368,97,25,5,3,787,136,14,4,2,33,2,0,0,0,1.0073856e-06,3.78449364e-05,1.844068400000001e-05,False
GTPBP8,30,19,1,0,0,64,51,7,2,2,2,2,1,0,0,103,13,2,0,0,261,34,5,2,2,6,3,0,0,0,3.813211999999999e-07,7.088111399999996e-06,2.8307048999999986e-06,False
ABHD17B,23,24,4,1,0,32,9,2,0,0,2,0,0,0,0,82,20,5,0,0,171,11,2,0,0,7,0,0,0,0,5.334009000000001e-07,7.938977800000013e-06,2.832579599999998e-06,False
BRCA2,253,161,26,12,8,698,449,60,35,7,31,10,0,1,0,1010,129,24,10,7,2955,358,67,18,7,154,8,0,1,0,4.141246299999995e-06,8.039464649999963e-05,2.935594089999997e-05,False
KCNJ11,31,34,7,3,3,69,64,4,2,3,0,0,0,0,0,167,26,7,2,3,316,49,4,1,3,12,0,0,0,0,2.569879000000001e-07,1.6248148600000022e-05,7.164433500000002e-06,False
CDC73,57,33,4,1,0,58,21,1,0,0,1,0,0,0,0,151,23,3,2,0,251,15,0,0,0,6,0,0,0,0,1.7175137000000009e-06,1.5351582500000037e-05,5.007424700000004e-06,False
KHSRP,102,98,19,8,5,118,60,6,2,0,0,0,0,0,0,345,84,11,7,4,557,39,4,2,1,3,0,0,0,0,1.1692187999999991e-06,2.5939267100000036e-05,1.2377230300000004e-05,False
SPATA4,19,19,3,0,3,74,47,5,1,1,4,2,0,0,0,94,14,2,0,3,318,39,3,2,0,22,2,0,0,0,4.010705999999999e-07,7.71051559999999e-06,2.9565544000000017e-06,False
CDC42SE2,9,5,1,0,0,13,9,1,0,0,0,0,0,0,0,28,5,2,0,0,53,5,1,0,0,1,0,0,0,0,2.208995e-07,2.660460099999999e-06,8.350186e-07,False
PPIP5K1,18,20,2,0,0,76,41,10,0,1,1,1,0,0,0,108,15,1,0,0,313,33,6,1,0,13,0,0,0,0,4.277581e-07,8.635084799999987e-06,3.5300773000000014e-06,False
LEP,21,16,4,2,0,23,17,3,0,1,1,0,0,0,0,83,13,4,2,0,122,12,2,1,0,8,0,0,0,0,1.914256e-07,4.486337800000003e-06,2.2734868000000007e-06,False
OR2AJ1,24,13,0,1,2,75,41,6,1,2,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.208126e-07,9.048302600000005e-06,3.4848800999999963e-06,False
D2HGDH,61,65,6,5,3,128,99,17,4,4,5,1,0,0,0,234,59,8,4,2,515,98,11,4,4,14,1,0,0,0,5.661841000000001e-07,2.00905841e-05,1.1383513600000016e-05,False
GPR149,79,53,4,4,1,159,138,11,2,0,11,0,0,0,0,335,41,3,2,2,791,85,12,1,0,36,1,0,0,0,7.865430999999995e-07,1.8987032899999995e-05,8.023787400000005e-06,False
ECT2,56,49,6,2,1,167,91,10,4,1,8,3,0,0,0,284,37,7,3,0,705,68,11,4,0,24,2,0,0,0,1.654640000000001e-06,2.295170709999992e-05,7.3417163000000125e-06,False
SDHAF2,8,9,3,0,0,40,24,6,0,0,1,0,0,0,0,65,9,0,0,0,146,22,3,0,0,10,0,0,0,0,1.68028e-07,4.537393300000002e-06,1.4200504e-06,False
ADAMTSL4,87,97,20,8,4,238,231,48,10,6,15,11,0,0,0,439,75,22,3,4,1032,200,54,6,7,55,7,0,0,0,2.0900761999999998e-06,4.108418139999993e-05,1.571058770000002e-05,False
SUPT4H1,6,6,3,0,0,18,6,0,1,0,1,1,0,0,0,48,4,3,0,0,99,6,0,1,0,4,1,0,0,0,3.212296000000001e-07,3.5449025999999964e-06,1.3702458e-06,False
INIP,8,6,0,0,0,13,11,1,0,0,2,0,0,0,0,34,6,0,0,0,57,1,1,0,0,2,1,0,0,0,1.011427e-07,2.7290286999999987e-06,9.263377999999996e-07,False
AGAP1,97,105,19,11,7,187,135,22,0,1,5,0,0,0,0,341,92,22,6,5,719,126,14,1,1,14,0,0,0,0,1.8226582e-06,3.11283059e-05,1.5947246499999986e-05,False
LARP6,55,46,5,1,5,123,62,8,2,0,1,1,0,0,0,225,37,3,1,4,470,56,8,2,0,12,0,0,0,0,4.885004e-07,1.6571187199999965e-05,7.200039199999991e-06,False
SETD5,118,84,13,2,4,258,183,19,4,1,0,0,0,0,0,604,57,14,1,3,1215,135,16,4,1,18,0,0,0,0,2.9678856000000007e-06,4.132087300000004e-05,1.435915579999999e-05,False
RPGRIP1L,89,68,15,3,2,264,222,31,10,5,17,10,0,0,0,407,48,10,3,2,1074,161,33,4,5,72,6,0,0,0,2.580377199999997e-06,3.572666010000002e-05,1.2579192699999969e-05,False
SLC52A3,53,48,14,3,7,70,80,11,1,5,4,2,0,0,0,211,43,8,5,6,412,61,13,2,4,15,3,0,0,0,3.845566999999999e-07,1.6138754000000016e-05,8.887665400000005e-06,False
ERBIN,117,75,12,6,3,296,181,21,10,5,6,0,0,0,0,449,55,10,3,3,1252,147,18,8,3,41,2,0,0,0,2.773605900000001e-06,3.4375817299999985e-05,1.1990202300000038e-05,False
ANKRD30A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335,51,10,2,3,938,160,29,8,7,49,6,0,1,1,1.7192692000000007e-06,3.078580680000008e-05,1.2206137899999984e-05,False
MAML3,85,80,22,3,4,219,170,24,6,2,0,0,0,0,0,372,60,18,2,2,996,135,16,6,1,18,0,0,0,0,1.8438536000000005e-06,3.223275789999999e-05,1.4615498100000007e-05,False
NDUFB3,8,2,0,0,0,17,15,2,1,0,1,0,1,0,0,26,4,0,0,0,75,11,2,1,0,3,0,1,0,0,1.1623990000000001e-07,2.2440720999999986e-06,7.040821999999996e-07,False
COBLL1,81,69,10,6,3,252,182,22,8,4,3,2,0,0,0,372,50,9,5,2,1062,143,26,6,3,30,3,0,0,0,1.5860572999999986e-06,2.9500109899999985e-05,1.1432750400000005e-05,False
H4C1,17,15,1,1,1,28,16,2,1,0,2,0,2,0,0,68,9,1,1,0,110,9,1,0,0,4,1,2,0,0,6.77393e-08,3.452270800000004e-06,1.3007803999999995e-06,True
COL13A1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,49,12,3,4,640,89,10,6,0,15,2,0,0,0,5.920064999999993e-07,2.372956279999996e-05,1.0908463099999993e-05,False
KCNC1,57,61,3,5,2,71,40,3,0,0,2,0,0,0,0,255,57,5,1,1,364,30,3,0,0,4,0,0,0,0,6.456379000000001e-07,2.021273780000003e-05,1.00126588e-05,False
SYNPR,26,18,7,2,0,59,37,5,2,0,3,0,0,0,0,109,13,6,1,0,263,38,4,1,0,14,0,0,0,0,3.637225000000001e-07,8.462949100000002e-06,3.992727199999999e-06,False
CDX1,51,31,6,1,0,65,44,4,3,1,3,1,0,0,0,126,24,3,0,0,288,42,5,2,1,9,0,0,0,0,2.9587510000000004e-07,9.532805300000012e-06,4.092152100000004e-06,False
MINDY4,57,71,7,7,4,152,148,20,10,9,13,5,2,0,0,331,45,9,5,3,727,112,21,6,6,36,4,3,0,0,1.0124096999999994e-06,2.2086572699999984e-05,9.992156099999992e-06,False
PTBP2,35,30,5,2,1,61,24,0,0,0,0,0,0,0,0,145,19,5,1,1,283,16,1,0,0,0,0,0,0,0,9.042119e-07,1.4407612800000018e-05,5.036799699999994e-06,False
UCP2,20,13,2,0,2,81,69,11,3,1,6,4,0,0,0,129,15,1,2,0,281,62,7,0,1,9,2,0,0,0,8.379250000000001e-07,1.125791099999998e-05,3.917921699999999e-06,False
ANKRD66,16,15,2,0,0,49,29,6,3,1,2,2,0,0,0,69,10,2,0,0,201,27,5,4,1,8,1,0,0,0,2.742594e-07,5.647040699999987e-06,2.233883100000001e-06,False
IL17RE,61,49,7,0,3,132,97,10,11,3,6,2,0,0,0,293,38,5,0,3,646,71,17,10,1,25,2,0,0,0,8.807711000000005e-07,1.926609960000005e-05,7.809994499999998e-06,False
BRPF3,92,104,12,3,2,210,165,10,3,1,2,0,0,0,0,458,67,8,4,0,911,120,9,2,1,13,0,0,0,0,1.5949689000000005e-06,4.2612829000000026e-05,1.53724343e-05,False
COX5A,10,9,1,1,0,27,30,6,1,0,0,0,0,0,0,53,10,0,1,0,137,21,3,1,0,2,0,0,0,0,1.263098e-07,4.750419800000004e-06,1.523465899999999e-06,False
CSN1S1,16,10,5,0,0,37,25,7,3,1,4,1,0,0,0,54,9,4,0,0,172,21,7,1,1,10,1,0,0,0,2.744767999999999e-07,5.018993399999997e-06,2.0726799999999995e-06,False
NPRL3,55,71,7,2,2,130,98,11,2,3,2,0,0,0,0,255,53,12,0,2,534,82,9,5,0,4,0,0,0,0,6.561195999999999e-07,2.1311581399999965e-05,1.0033379700000003e-05,False
PLAAT5,29,18,2,2,2,66,48,11,2,4,0,3,1,0,0,100,14,1,2,1,268,34,13,3,2,12,3,1,0,0,3.847758e-07,8.066269700000002e-06,3.3868819999999937e-06,False
ZNF254,69,49,2,5,2,191,147,21,7,3,11,10,1,0,0,193,35,2,5,0,644,110,22,4,3,48,12,3,0,0,1.3032386999999994e-06,1.6957848299999998e-05,5.433216699999995e-06,False
DYM,54,53,6,2,1,141,104,11,3,1,7,6,0,0,0,256,38,6,3,0,651,80,8,3,0,40,2,0,0,0,1.5718383e-06,1.889793829999996e-05,7.922037399999994e-06,False
TIMM17A,21,6,3,1,0,34,26,1,0,1,2,1,0,0,0,56,4,1,1,0,164,13,3,0,1,4,1,0,0,0,4.926668999999998e-07,4.587474399999995e-06,1.566582300000001e-06,False
LUZP1,93,76,8,4,3,204,157,19,4,7,5,3,0,0,0,368,57,11,1,2,912,119,19,3,7,19,2,0,0,0,1.9141350000000004e-06,3.333858070000003e-05,1.3104493699999988e-05,False
YTHDF3,55,34,2,0,0,96,38,5,0,1,0,0,0,0,0,235,23,2,0,0,471,30,1,0,1,5,0,0,0,0,6.588814999999995e-07,1.5378103999999968e-05,5.280658099999999e-06,False
ENSG00000259164,3,5,0,0,0,11,1,1,0,0,0,0,0,0,0,17,2,1,0,0,53,2,1,0,0,0,0,0,0,0,3.5028900000000003e-08,1.5471355999999995e-06,5.140045e-07,False
UGT1A5,54,50,9,3,5,131,98,22,1,9,7,4,1,0,0,115,28,6,4,2,262,61,13,1,6,5,2,0,0,0,6.806664000000002e-07,1.588495420000001e-05,6.915622399999996e-06,False
LRP1B,374,296,36,25,19,910,552,78,27,6,18,3,0,0,0,1599,215,41,19,16,3954,420,66,17,7,84,0,0,0,0,7.432858100000002e-06,0.0001256405702,4.740506010000016e-05,False
HEATR3,56,48,7,2,1,138,86,13,5,1,5,0,0,0,0,241,35,7,2,1,640,76,15,4,0,18,0,0,0,0,6.682657999999997e-07,1.7059177100000013e-05,7.4129876e-06,False
MESP1,50,29,6,3,5,98,77,11,7,5,6,5,0,0,0,177,26,3,4,2,345,49,11,7,1,12,5,1,0,0,2.997924999999999e-07,8.443507500000002e-06,4.165187000000003e-06,False
GAN,64,58,8,3,1,163,93,7,2,0,9,0,0,0,0,270,48,8,1,2,689,56,7,2,0,23,1,0,0,0,1.1063720000000002e-06,1.7929288899999945e-05,7.586890500000004e-06,False
KDM8,43,43,8,2,1,89,60,18,2,0,5,0,0,0,0,185,33,10,1,1,358,56,11,1,0,17,1,0,0,0,6.553236000000001e-07,1.3273247100000012e-05,6.9472019000000015e-06,False
OR8G1,27,16,2,3,2,61,49,6,1,1,0,1,0,0,1,83,13,2,3,1,239,35,4,1,1,8,0,0,0,1,1.6899460000000004e-07,6.645607100000013e-06,2.7031531000000003e-06,False
RHPN2,58,54,10,4,4,121,101,14,2,5,6,2,0,0,0,209,40,9,2,2,465,83,6,3,2,19,1,0,0,0,8.192883999999997e-07,2.1919163100000043e-05,1.0684162800000006e-05,False
CSTB,5,16,1,0,1,30,13,1,0,0,1,2,0,0,0,47,13,1,1,0,106,11,0,1,0,6,2,0,0,0,1.7317319999999994e-07,2.9463015000000013e-06,1.6003307999999997e-06,False
GTF2A2,17,3,1,1,0,16,6,0,0,0,1,0,0,0,0,28,3,1,1,0,60,5,1,0,0,3,0,0,0,0,1.168438e-07,2.4146122999999948e-06,1.0402615999999994e-06,False
ENSG00000288570,2,4,0,0,0,6,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.15073e-08,8.627453999999999e-07,2.628468999999999e-07,False
OR52W1,25,21,4,1,2,54,55,11,5,3,2,1,1,0,0,126,17,2,2,1,325,44,10,2,4,12,2,0,0,0,3.946550999999998e-07,8.462298000000001e-06,3.280474700000001e-06,False
IFT172,145,97,11,3,1,347,263,43,7,1,21,5,0,0,0,612,84,7,2,1,1434,226,36,4,2,79,4,0,0,0,3.3983185999999986e-06,5.308238320000008e-05,1.9442199700000068e-05,False
PID1,10,24,3,2,1,41,38,3,0,0,1,0,0,0,0,87,23,3,1,1,194,28,2,0,0,1,0,0,0,0,2.756253e-07,7.316290300000003e-06,3.578068899999996e-06,False
SUB1,11,6,0,0,0,17,5,0,0,0,0,0,0,0,0,39,4,0,0,0,80,2,0,0,0,1,0,0,0,0,1.484312e-07,2.9443388000000013e-06,1.0957588000000004e-06,False
FOXL2,54,48,9,3,2,84,35,9,0,1,0,0,0,0,0,185,33,8,2,1,335,22,7,0,1,2,0,0,0,0,4.0683780000000013e-07,1.2393253700000008e-05,6.054250300000005e-06,False
SLC6A12,57,46,10,8,3,110,76,14,3,2,4,2,0,0,0,235,43,13,5,3,487,63,13,3,1,20,1,0,0,0,7.181966000000006e-07,1.815751699999998e-05,8.490919200000002e-06,False
TRIM75,29,23,10,4,4,89,62,6,5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.478376999999998e-07,1.1856396699999992e-05,4.755258300000001e-06,False
TSPAN31,25,8,1,0,0,32,24,0,1,0,3,0,0,0,0,83,6,1,0,0,186,13,2,0,0,8,0,0,0,0,2.954465000000001e-07,5.230448100000003e-06,2.0677507000000007e-06,False
RBM47,70,66,11,1,7,132,78,9,1,1,1,0,0,0,0,245,59,6,2,5,524,73,6,1,1,11,0,0,0,0,9.038921999999998e-07,1.9101467500000008e-05,8.848700700000019e-06,False
ZC3H3,55,54,11,1,2,83,100,18,7,3,1,0,0,0,1,181,56,7,2,0,383,86,11,5,3,5,0,0,0,1,3.263448e-07,2.01259506e-05,8.700258699999998e-06,False
CRADD,16,26,1,1,1,37,46,4,1,2,0,1,0,0,0,95,18,2,0,1,161,27,4,2,1,9,0,0,0,0,2.2399819999999998e-07,6.7779535e-06,2.6552089999999967e-06,False
SMPD1,57,56,9,4,4,143,106,20,10,5,4,4,0,0,0,267,46,5,5,2,638,85,19,8,1,26,3,0,0,0,9.472437000000003e-07,2.1662628600000015e-05,8.852498900000011e-06,False
LMAN2,27,49,12,1,1,100,71,11,3,0,1,0,0,0,0,156,45,10,0,1,348,73,7,2,0,9,0,0,0,0,3.673230000000001e-07,1.44786587e-05,7.520180599999992e-06,False
OVCH2,42,42,5,1,3,138,93,12,4,11,5,8,0,0,0,217,38,5,2,2,555,76,13,2,10,39,1,0,0,0,7.885063999999999e-07,1.5079346799999992e-05,5.67275599999999e-06,False
RNF212,33,25,4,0,1,56,42,10,3,2,2,0,0,0,0,110,18,3,1,1,287,42,8,4,1,12,1,1,0,0,4.160850999999999e-07,8.114164100000006e-06,4.100079599999999e-06,False
EMC2,20,10,2,1,0,63,33,0,0,0,3,1,0,0,0,72,14,1,1,0,197,21,1,0,0,13,1,0,0,0,6.766493e-07,7.613171800000003e-06,2.6268933000000005e-06,False
MPRIP,221,229,37,19,8,504,406,48,13,5,8,1,0,0,0,930,176,37,13,6,1952,319,47,8,4,41,0,0,0,0,3.6733447999999936e-06,8.702530540000046e-05,3.766177190000007e-05,False
